objname,ra,dec,objtype,z,z_unc,z_tech,z_qual,z_qual_flag,z_refcode,ziDist,ziDist_unc,ziDist_method,ziDist_indicator,ziDist_refcode,DistMpc,DistMpc_unc,DistMpc_method,ebv,A_FUV_MWext,A_NUV_MWext,A_J_MWext,A_H_MWext,A_Ks_MWext,A_W1_MWext,A_W2_MWext,A_W3_MWext,A_W4_MWext,m_FUV,m_FUV_unc,m_NUV,m_NUV_unc,Lum_FUV,Lum_FUV_unc,Lum_NUV,Lum_NUV_unc,GALEXphot,m_J,m_J_unc,m_H,m_H_unc,m_Ks,m_Ks_unc,Lum_J,Lum_J_unc,Lum_H,Lum_H_unc,Lum_Ks,Lum_Ks_unc,tMASSphot,m_W1,m_W1_unc,m_W2,m_W2_unc,m_W3,m_W3_unc,m_W4,m_W4_unc,Lum_W1,Lum_W1_unc,Lum_W2,Lum_W2_unc,Lum_W3,Lum_W3_unc,Lum_W4,Lum_W4_unc,WISEphot,SFR_W4,SFR_W4_unc,SFR_hybrid,SFR_hybrid_unc,ET_flag,Mstar,Mstar_unc,MLratio,dP_dA,dP_dV,P_2D,P_3D,P_Mstar,P_SFR,P_sSFR,P_LumW1,P_3D_Mstar,P_3D_SFR,P_3D_sSFR,P_3D_LumW1,,,,,,,sSFR,,,
WISEA J061043.04-023625.2,92.67917,-2.60697,G,7.27E-02,,PHOT,FALSE,FALSE,2014ApJS..210....9B,,,,,,330.48,,Redshift,0.3068,2.457,2.757,0.249,0.155,0.106,0.061,0.042,0.016,0.008,,,,,,,,,,14.443,0.093,14.226,0.191,13.606,0.182,1.06E+44,9.10E+42,5.68E+43,9.99E+42,4.82E+43,8.08E+42,XSC,9.209,0.006,9.226,0.006,9.192,0.042,7.793,99,7.93E+44,4.38E+42,3.10E+44,1.71E+42,2.29E+43,8.87E+41,1.14E+43,,APER,2.23E+00,,,,TRUE,2.51E+12,1.39E+10,0.5,3.051506443,5.15E-08,0.708063695,0.891824653,2.30E-03,1.19E-04,1.01E-03,2.28E-03,2.05E-03,1.06E-04,8.97E-04,2.03E-03,,,,,,,,,,
WISEA J055357.30-060207.5,88.48879,-6.03611,G,5.02E-02,,PHOT,FALSE,FALSE,2014ApJS..210....9B,,,,,,224.38,,Redshift,0.612,4.901,5.5,0.497,0.31,0.212,0.121,0.085,0.032,0.017,,,,,,,,,,14.41,0.203,14.424,0.355,13.163,0.218,6.34E+43,1.19E+43,2.52E+43,8.23E+42,3.68E+43,7.40E+42,XSC,8.497,0.006,8.54,0.006,9.029,0.393,6.948,99,7.44E+44,4.11E+42,2.80E+44,1.55E+42,1.25E+43,4.51E+42,1.15E+43,,APER,2.26E+00,,,,TRUE,2.36E+12,1.30E+10,0.5,0.496075481,8.44E-08,0.950324484,0.836638076,2.16E-03,1.20E-04,9.33E-04,2.14E-03,1.80E-03,1.01E-04,7.81E-04,1.79E-03,,,,,,,,,,
WISEA J071238.60-372350.1,108.16138,-37.39731,G,8.52E-02,,PHOT,FALSE,FALSE,2014ApJS..210....9B,,,,,,390.44,,Redshift,0.4009,3.21,3.603,0.326,0.203,0.139,0.08,0.056,0.021,0.011,,,,,,,,,,14.727,0.184,13.637,0.134,13.392,0.189,1.23E+44,2.08E+43,1.43E+44,1.76E+43,8.44E+43,1.47E+43,XSC,9.73,0.006,9.849,0.007,9.903,0.398,7.723,99,6.97E+44,3.85E+42,2.47E+44,1.59E+42,1.67E+43,6.12E+42,1.70E+43,,APER,3.33E+00,,,,TRUE,2.20E+12,1.22E+10,0.5,4.587324834,1.50E-07,0.556219673,0.731373271,2.02E-03,1.77E-04,5.92E-04,2.00E-03,1.48E-03,1.30E-04,4.33E-04,1.46E-03,,,,,,,,,,
WISEA J201533.66-842204.1,303.89067,-84.36772,G,6.87E-02,1.50E-04,None,FALSE,FALSE,20096dF...C...0000J,,,,,,311.23,0.65,Redshift,0.1672,1.339,1.503,0.136,0.085,0.058,0.033,0.023,0.009,0.005,,,,,,,,,,13.762,0.096,13.104,0.139,12.783,0.154,1.59E+44,1.41E+43,1.33E+44,1.70E+43,8.72E+43,1.24E+43,XSC,9.218,0.005,9.353,0.006,9.312,0.037,8.746,0.374,6.80E+44,3.13E+42,2.40E+44,1.33E+42,1.81E+43,6.16E+41,4.19E+42,1.44E+42,APER,8.19E-01,2.82E-01,,,TRUE,2.15E+12,9.91E+09,0.5,5.541009516,2.06E-07,0.454709011,0.657944665,1.97E-03,4.37E-05,2.35E-03,1.95E-03,1.29E-03,2.87E-05,1.54E-03,1.28E-03,,,,,,,,,,
WISEA J051736.04+131107.5,79.40029,13.18531,G,5.72E-02,,PHOT,FALSE,FALSE,2014ApJS..210....9B,,,,,,257.07,,Redshift,0.5423,4.342,4.874,0.441,0.274,0.188,0.108,0.075,0.029,0.015,,,,,,,,,,13.178,0.059,12.989,0.118,12.348,0.102,2.46E+44,1.34E+43,1.20E+44,1.30E+43,1.00E+44,9.41E+42,XSC,8.878,0.006,8.997,0.006,8.382,0.028,7.086,0.17,6.79E+44,3.75E+42,2.39E+44,1.32E+42,2.96E+43,7.63E+41,1.33E+43,2.09E+42,APER,2.60E+00,4.08E-01,,,TRUE,2.15E+12,1.19E+10,0.5,2.669282757,2.12E-07,0.755171516,0.650203447,1.97E-03,1.39E-04,7.38E-04,1.95E-03,1.28E-03,9.03E-05,4.80E-04,1.27E-03,,,,,,,,,,
WISEA J073438.51-432253.0,113.66054,-43.38131,G,8.38E-02,,PHOT,FALSE,FALSE,2014ApJS..210....9B,,,,,,383.92,,Redshift,0.3308,2.649,2.973,0.269,0.167,0.115,0.066,0.046,0.017,0.009,,,,,,,,,,14.883,0.193,13.96,0.174,13.683,0.221,9.73E+43,1.73E+43,9.90E+43,1.59E+43,6.11E+43,1.24E+43,XSC,9.904,0.006,10.056,0.009,10.214,0.117,8.598,99,5.67E+44,3.13E+42,1.95E+44,1.62E+42,1.21E+43,1.30E+42,7.34E+42,,APER,1.43E+00,,,,TRUE,1.79E+12,9.91E+09,0.5,1.430941732,5.73E-08,0.871940854,0.881833201,1.64E-03,7.65E-05,1.12E-03,1.63E-03,1.45E-03,6.75E-05,9.85E-04,1.43E-03,,,,,,,,,,
WISEA J083134.97-803600.3,127.896,-80.60011,G,8.29E-02,1.03E-04,None,FALSE,FALSE,20096dF...C...0000J,,,,,,379.45,0.44,Redshift,0.1017,0.814,0.914,0.083,0.051,0.035,0.02,0.014,0.005,0.003,,,,,,,,,,13.671,0.057,12.984,0.063,12.904,0.127,2.45E+44,1.28E+43,2.14E+44,1.24E+43,1.14E+44,1.33E+43,XSC,9.855,0.006,9.959,0.006,10.083,0.054,8.456,99,5.55E+44,3.07E+42,2.03E+44,1.12E+42,1.32E+43,6.55E+41,8.13E+42,,APER,1.59E+00,,,,TRUE,1.76E+12,9.71E+09,0.5,3.847882513,8.15E-08,0.63254377,0.84142739,1.61E-03,8.47E-05,9.89E-04,1.59E-03,1.35E-03,7.13E-05,8.32E-04,1.34E-03,,,,,,,,,,
WISEA J072905.20-623320.6,112.27163,-62.55572,G,8.59E-02,,PHOT,FALSE,FALSE,2014ApJS..210....9B,,,,,,393.8,,Redshift,0.1515,1.213,1.361,0.123,0.077,0.053,0.03,0.021,0.008,0.004,,,,,,,,,,14.695,0.104,13.975,0.112,13.642,0.164,1.07E+44,1.02E+43,9.45E+43,9.75E+42,6.30E+43,9.51E+42,XSC,9.965,0.005,10.078,0.006,10.331,0.09,8.722,99,5.45E+44,2.51E+42,1.97E+44,1.09E+42,1.13E+43,9.38E+41,6.86E+42,,APER,1.34E+00,,,,TRUE,1.73E+12,7.95E+09,0.5,1.885705011,5.13E-08,0.836076585,0.892293626,1.58E-03,7.15E-05,1.15E-03,1.57E-03,1.41E-03,6.38E-05,1.03E-03,1.40E-03,,,,,,,,,,
WISEA J072738.54-425615.1,111.91062,-42.93767,G,9.00E-02,,PHOT,FALSE,FALSE,2014ApJS..210....9B,,,,,,413.61,,Redshift,0.1669,1.336,1.5,0.136,0.084,0.058,0.033,0.023,0.009,0.005,,,,,,,,,,14.354,0.106,13.477,0.093,13.242,0.149,1.63E+44,1.59E+43,1.66E+44,1.42E+43,1.01E+44,1.39E+43,XSC,10.116,0.006,10.234,0.007,9.86,0.062,8.121,99,5.25E+44,2.90E+42,1.89E+44,1.22E+42,1.93E+43,1.10E+42,1.32E+43,,APER,2.57E+00,,,,TRUE,1.66E+12,9.18E+09,0.5,3.030841198,7.68E-08,0.711122891,0.849347928,1.52E-03,1.37E-04,5.77E-04,1.51E-03,1.29E-03,1.17E-04,4.90E-04,1.28E-03,,,,,,,,,,
WISEA J070806.23-280528.7,107.02587,-28.09125,G,7.95E-02,,PHOT,FALSE,FALSE,2014ApJS..210....9B,,,,,,363.1,,Redshift,0.1327,1.063,1.193,0.108,0.067,0.046,0.026,0.018,0.007,0.004,,,,,,,,,,14.29,0.09,13.351,0.074,12.971,0.124,1.30E+44,1.07E+43,1.42E+44,9.65E+42,9.88E+43,1.13E+43,XSC,9.831,0.006,9.954,0.008,9.345,0.047,8.299,0.289,5.23E+44,2.89E+42,1.87E+44,1.38E+42,2.38E+43,1.03E+42,8.61E+42,2.29E+42,APER,1.68E+00,4.48E-01,,,TRUE,1.65E+12,9.14E+09,0.5,1.733557619,8.47E-08,0.848925128,0.836220485,1.51E-03,8.97E-05,8.79E-04,1.50E-03,1.27E-03,7.50E-05,7.35E-04,1.26E-03,,,,,,,,,,
