tile_index,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
30391,270.496007,28.0,0.004186270686896944,12238441943112.02,51233430759.73992
31328,268.530754,31.0,0.0027088385709101346,9331246919127.777,25276841569.219685
30707,270.594302,29.0,0.0052651097867988635,8575401316453.878,45150429396.989174
31942,275.26156,33.0,0.004176244099232823,8138317495128.232,33987600416.712532
33682,273.304648,39.0,0.017642795751551022,7467256516593.49,131743281546.69731
34232,273.812399,41.0,0.004513627752836636,7237797169426.339,32668722173.325172
32241,275.008491,34.0,0.005585311787412633,6870113259052.881,38371724566.64788
30074,271.92737,27.0,0.0042649777070785716,6474285866335.492,27612684889.17475
31020,271.063107,30.0,0.009982816473387592,6343164294612.696,63322645013.663605
33113,269.689475,37.0,0.005628799901037365,6327592054544.956,35616749530.42747
30710,274.024364,29.0,0.0051508040686047635,6269302727886.897,32291949998.114773
31021,272.217807,30.0,0.013107800711102577,6188770382838.089,81121168825.01567
31639,274.624605,32.0,0.007976632193170892,6110884332756.447,48744276697.4087
32825,270.642975,36.0,0.011986138309417155,5949921417992.527,71316581046.22188
32827,273.115111,36.0,0.030546521320992004,5814275303889.868,177605884536.38913
30394,273.893717,28.0,0.005170195234220791,5388300846293.008,27858567356.051964
33399,271.044135,38.0,0.019163975627972056,5387059109655.616,103237469483.88507
31023,274.527208,30.0,0.004387908730891296,5315725073224.742,23324916459.820618
32240,273.802273,34.0,0.016826136215210466,5093247087954.164,85699669279.64081
34499,271.116141,42.0,0.00358073982194901,4775945577827.432,17101418517.987959
29752,271.709239,26.0,0.002854467200938077,4614603388619.382,13172234018.151731
34500,272.461774,42.0,0.00422072613150026,4596400490661.577,19400147661.775932
31635,269.907891,32.0,0.006645584715650168,4483795542062.549,29797443122.431236
31022,273.372508,30.0,0.011019341994133023,4463663641257.326,49186636209.79157
33957,270.875522,40.0,0.010001342583595725,4215772786159.139,42163387888.977394
32535,273.240093,35.0,0.02296525833436847,4205076157899.319,96570660281.85147
31636,271.087069,32.0,0.015866176319625794,4190994642622.739,66495059954.459465
32828,274.351179,36.0,0.017766684396460022,4189077553920.247,74426018812.79578
32536,274.460867,35.0,0.00837454911969131,3933093656874.3057,32937886021.840187
33679,269.444369,39.0,0.0033182238190306414,3805047060873.064,12625997789.921535
33118,275.950153,37.0,0.002495947771653943,3667017421273.531,9152683961.243858
32826,271.879043,36.0,0.02782431319213608,3539839043560.549,98493590197.78015
30709,272.88101,29.0,0.00922728080564408,3350264342738.217,30913829863.582127
32239,272.596055,34.0,0.03144535182438745,3276163886817.3857,103020126055.32536
32824,269.406908,36.0,0.0035499175152758342,3132427673958.3086,11119859865.119339
31329,269.697387,31.0,0.00736370544178935,3022730876291.13,22258499802.809685
32532,269.577769,35.0,0.008886687017213676,2924723722986.8745,25991104338.004303
33958,272.180929,40.0,0.013705036475419895,2909265382396.2275,39871588182.41671
33400,272.313153,38.0,0.0262482700709108,2905053266584.62,76252622711.69473
31940,272.876833,33.0,0.02193783018450915,2866133356919.5054,62876746870.25726
33401,273.582171,38.0,0.016233747231964336,2857947771856.309,46395201730.471
31939,271.68447,33.0,0.027339161881123474,2827890599981.08,77312158894.99013
31941,274.069197,33.0,0.013351084823849906,2796193817483.154,37332220841.142265
33398,269.775117,38.0,0.007948570203054114,2791388865770.3477,22187550363.599205
31019,269.908406,30.0,0.004304816073258792,2767352714772.355,11912944446.928387
31331,272.030654,31.0,0.015407443168460721,2749166250929.684,42357622771.849335
31332,273.197287,31.0,0.012604053479933798,2654846384342.77,33461825809.265152
30073,270.805044,27.0,0.0035762279087236284,2505766000185.2017,8961190302.593096
32534,272.019318,35.0,0.03313989043913372,2467954284873.8813,81787734609.51103
33680,270.731128,39.0,0.01096253483017852,2450003711774.946,26858251024.399498
33956,269.570114,40.0,0.004137974257660349,2447146610535.076,10126229679.11492
29753,272.821841,26.0,0.002934145877252118,2430162647670.211,7130451713.713641
34231,272.487386,41.0,0.007628627174408379,2423245446758.615,18486036065.404144
31333,274.363921,31.0,0.004627329211551922,2378850884864.9043,11007726189.46151
33115,272.193746,37.0,0.030323557655311695,2338926637427.1885,70924576741.56766
31330,270.86402,31.0,0.014760222866055935,2178913250575.7742,32161245184.300808
31638,273.445426,32.0,0.017623633785843973,2170099071124.154,38245031308.49226
32236,268.977401,34.0,0.004395660964085365,2162696435612.2302,9506480299.187239
31938,270.492107,33.0,0.013468283024337469,2137434859206.3862,28787577629.87652
30075,273.049697,27.0,0.004356037476798314,2135039844460.8235,9300313576.92899
30076,274.172023,27.0,0.0025707779864139954,2080746311657.266,5349136813.320614
30708,271.737656,29.0,0.007730166769688999,1977800902640.0574,15288730814.649078
32533,270.798544,35.0,0.022964679988385264,1921301083536.9,44122064544.76277
33116,273.445882,37.0,0.026604732506588406,1799156377947.3496,47866074172.81171
33402,274.85119,38.0,0.0037355684771144216,1747874873837.8777,6529306280.649122
33959,273.486336,40.0,0.008705614149838916,1741599997820.5625,15161697584.386114
32238,271.389837,34.0,0.025398822288551386,1654547206525.725,42023550466.56602
34230,271.162373,41.0,0.006811016490152131,1604773763719.4583,10930140567.65673
30393,272.761147,28.0,0.006769601862129938,1531901416561.589,10370362682.154823
32829,275.587247,36.0,0.005109155383709232,1527489584373.5762,7804181633.562034
32531,268.356995,35.0,0.00250629601032101,1481067489141.5938,3711993539.051732
33117,274.698017,37.0,0.010211385175092536,1439175153166.6755,14695971823.40772
31937,269.299743,33.0,0.0055889797129362855,1426839671754.3108,7974577979.047512
33683,274.591407,39.0,0.005809153876345053,1365776482560.713,7934005747.888477
30392,271.628577,28.0,0.005969114657067388,1325564187211.041,7912444618.765043
31637,272.266248,32.0,0.01955536148153181,1207840207139.5098,23619751862.541374
32237,270.183619,34.0,0.011821311820448705,1068398805796.3103,12629875431.913202
33114,270.94161,37.0,0.018214533681659695,1020215507261.5189,18582749719.566467
33681,272.017888,39.0,0.01769668990365005,672212848434.0679,11895942327.98701
