tile_index,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
10306,271.048809,29.511506,0.011759931014575018,17383680414475.213,204430882453.64737
10999,271.032613,36.439709,0.015469849231056508,12488017939778.516,193187754723.10254
11480,272.98521,41.635861,0.012125024407598203,15930144576359.137,193153391804.92267
11163,270.02272,38.17176,0.014708152539302327,12783798066874.004,188026051999.22107
10124,270.216997,27.779455,0.008981667662650452,19317235589763.0,173500990228.3748
11324,273.010942,39.903811,0.013547530694216884,12574754049667.256,170356866460.0952
10833,274.265276,34.707658,0.011013943753598314,14272718921628.5,157198923413.73468
10662,276.024214,32.975607,0.0067867703450145075,23070726965992.797,156575725610.72644
10307,273.039084,29.511506,0.010582067479189586,14748711374883.055,156071859000.10352
10483,268.209181,31.243557,0.009792346036278609,15590798078084.37,152670489762.34964
11000,273.185614,36.439709,0.014138446694827323,10200458749271.514,144218642289.3603
10661,273.95955,32.975607,0.011774733187968135,12074070238271.195,142168955548.43018
10484,270.235042,31.243557,0.011797660339189723,10829925868548.104,127767786895.73477
10663,278.088877,32.975607,0.00313478095378203,39321288752704.484,123263627060.14157
11479,270.667721,41.635861,0.01219951430226255,9851107045009.834,120178721288.71683
11323,270.753088,39.903811,0.013498374597453882,8807871201878.83,118891944889.08679
11631,271.193832,43.367912,0.009068039751366708,12767452070925.273,115775762902.81958
10660,271.894887,32.975607,0.014282396325051867,7746554419306.61,110639360370.11903
10485,272.260903,31.243557,0.012664959577434347,8725613573042.551,110509543190.89638
10487,276.312625,31.243557,0.005164816360649541,21116037842921.668,109060457723.21666
10486,274.286764,31.243557,0.009113282963223883,11940596937088.293,108818038637.49002
10834,276.372219,34.707658,0.005670603095942395,18728988551654.3,106204660464.88055
10308,275.02936,29.511506,0.006790593490676409,14544102616467.256,98763088555.11229
10832,272.158332,34.707658,0.015611323355272433,6269052832074.897,97868210892.80763
10122,266.301644,27.779455,0.005340623375024323,18298737053507.598,97726662841.38638
10123,268.25932,27.779455,0.007614903084804868,12678364036481.479,96544513411.68192
10127,276.090027,27.779455,0.005173277184400213,18609314547008.36,96271142363.36534
10998,268.879613,36.439709,0.011680279578225223,8124735631730.778,94899183677.78381
11162,267.819546,38.17176,0.008422589138303634,11111117401486.887,93584376740.17995
10126,274.13235,27.779455,0.008397269083157641,10960259748469.547,92036250329.20047
9749,265.127999,24.315353,0.0034879952810732886,26385938302314.637,92034028285.1644
11478,268.350231,41.635861,0.006454555268934178,14144372608514.78,91295634746.05733
9938,269.074824,26.047404,0.006244128430585174,14601464212464.977,91173417817.22452
11164,272.225894,38.17176,0.014855872311603137,6124869034011.238,90990272294.563
11322,268.495234,39.903811,0.008104985824816193,11139382975994.29,90284541117.63254
9939,271.002686,26.047404,0.0073755125448703406,11969244253568.037,88279311144.80829
9563,272.23794,22.583302,0.005561951912778766,15363543627776.814,85451290867.57327
9754,274.631259,24.315353,0.005497456092268822,15141049005833.268,83237252100.4589
10658,267.765561,32.975607,0.008533199206586494,9664366790888.553,82467967032.17107
9751,268.929303,24.315353,0.00541200987913432,15234616308068.764,82449893964.08897
9941,274.858409,26.047404,0.006911216631786675,11929819445046.895,82449566562.82018
10305,269.058533,29.511506,0.00901934775057385,8976979035606.684,80966495671.74776
9942,276.786271,26.047404,0.004451695013122092,18082668450034.05,80498524962.95677
10125,272.174674,27.779455,0.009663288928579908,8260002993314.383,79818795475.33177
