tile_index,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
3171,259.813291,27.738694,0.0043730056075148,131669005274845.97,575789298402.7972
3272,260.242141,30.83708,0.004365952592066487,90083064225206.39,393298387755.33167
2746,275.995692,15.345147,0.005034742367876076,83882392718868.72,422326236540.508
2633,273.529854,12.24676,0.00219295445118032,79841141889838.9,175087987494.64175
2745,272.782762,15.345147,0.004203609566199716,68124915864922.66,286370548026.33966
3373,275.906711,33.935467,0.02883228832802301,66630282674252.05,1921103521441.711
3374,279.641206,33.935467,0.007168970219115691,65766307200581.41,471476697742.18195
3176,277.316728,27.738694,0.01058999330860584,65093474332978.81,689339457620.1516
2743,266.356901,15.345147,0.0034198310451133093,60385878631227.375,206509502429.51578
3068,263.761352,24.640307,0.011208532227075315,55476883173514.58,621814432908.0304
3725,282.548049,46.329014,0.0025293899965469144,54499314221267.08,137850020209.93994
3276,274.676264,30.83708,0.027528905448937692,52234836927004.42,1437967886904.1838
3277,278.284795,30.83708,0.008368463093355902,51043781049204.56,427157997855.6078
3069,267.170132,24.640307,0.016072171413596133,50647010922149.09,814007441127.0558
3173,266.814666,27.738694,0.019501631488616326,49699315278045.68,969217731789.0061
2634,276.700393,12.24676,0.0023691834349246045,49659241174233.0,117651851580.91869
2744,269.569831,15.345147,0.003802437996403063,48516395118564.03,184480584247.33197
3468,280.691289,37.033854,0.004125994138375766,47077307300256.5,194240693971.37296
2852,260.353512,18.443534,0.0027662266912090727,46914085148196.36,129774994530.59592
3369,260.968731,33.935467,0.0037978920951980263,46625441184569.64,177078394509.99753
2964,272.179061,21.54192,0.013955218920574643,46346894357975.766,646781057054.2976
2858,279.950409,18.443534,0.001812132950368782,45188587864726.984,81887729050.30666
3070,270.578912,24.640307,0.020761734414273918,45025681386650.95,934811238771.3636
2857,276.68426,18.443534,0.006393399000960965,43508684574066.28,278168380488.9611
2747,279.208622,15.345147,0.0036978668626686667,43447753379861.7,160664007480.79117
2966,278.84119,21.54192,0.005978092345554022,43255651804113.98,258586280952.12378
3174,270.315353,27.738694,0.028490808985856066,42383863010251.81,1207550545107.775
3558,281.662983,40.13224,0.0036538011523491775,42288741181902.45,154514651261.8313
3370,264.703226,33.935467,0.011259987754756312,41678594875594.125,469300467934.63904
3067,260.352573,24.640307,0.005122509395117273,41629733453257.75,213248700730.54065
2853,263.619662,18.443534,0.005283762039452983,41422894699644.84,218868718578.2416
3463,261.284643,37.033854,0.004275301930430854,41068917346840.766,175582021613.65353
2963,268.847997,21.54192,0.011976422586433702,40564826700698.26,485821506713.01154
3071,273.987692,24.640307,0.019185628594661004,40225684904763.42,771755050548.6526
3275,271.067733,30.83708,0.03965957750955766,39261194975706.0,1557082405256.868
3553,261.400404,40.13224,0.002709372673426718,39250472167340.86,106344156709.28929
3072,277.396472,24.640307,0.007317323575042741,39102131449711.67,286122948291.39545
3554,265.45292,40.13224,0.011555133590475997,38743637093758.03,447687902399.2952
3641,270.124179,43.230627,0.01827844743035925,38077459156522.67,695996835474.1511
2854,266.885811,18.443534,0.007353465954672346,37775499005891.78,277780845860.5843
3872,273.215157,52.525787,0.0021764306199128875,37670798696420.43,81987879759.46391
2856,273.41811,18.443534,0.008801831274324538,37628384045031.01,331198687489.8484
2855,270.151961,18.443534,0.007973922258964225,37104803000203.234,295870814557.8031
3177,280.817416,27.738694,0.0022106249665741614,36480072857524.375,80643759841.2878
3801,277.348116,49.4274,0.003661652633598322,35705065150422.71,130739545840.84499
3724,278.06099,46.329014,0.006705087263875755,35211449388802.07,236095840839.4625
2961,262.185868,21.54192,0.004848207362921099,35108305962931.164,170212347469.1696
2965,275.510125,21.54192,0.01316359031392354,34352213758587.664,452198468294.3755
2742,263.143971,15.345147,0.0020144086103330507,33766123482885.906,68018769881.494385
3464,265.165972,37.033854,0.01457879342015756,33531784806739.477,488852963706.6327
3465,269.047302,37.033854,0.03921143447961906,33223281381299.54,1302732521080.775
3273,263.850672,30.83708,0.012051690977053423,33163443001942.383,399675566794.5345
3800,272.584379,49.4274,0.00672141859521597,32736949580075.883,220038741658.16968
3643,278.62919,43.230627,0.013145684769521401,32044961436622.79,421252961497.3128
3175,273.816041,27.738694,0.025395249842972277,32011311893607.32,812935263339.4679
3555,269.505435,40.13224,0.03604566640247721,31850589539288.1,1148075725255.4092
3556,273.557951,40.13224,0.03731163406221187,31706399974847.56,1183017593291.6357
3642,274.376685,43.230627,0.030558153785020595,31374422231870.17,958744419477.6578
2962,265.516932,21.54192,0.009219324604603084,30941615888083.05,285260800663.18176
3644,282.881696,43.230627,0.004212252760871711,30501197166260.492,128478751973.47316
3557,277.610467,40.13224,0.012719143704841193,30412673985434.727,386823170869.2296
3640,265.871673,43.230627,0.00462733854036089,29867326408810.203,138206230589.02606
3172,263.313978,27.738694,0.010708795808388613,29832714172019.4,319472444478.1769
3274,267.459203,30.83708,0.023935869906606524,29471176659285.555,705418250511.2777
3799,267.820643,49.4274,0.0037430518513560987,28534817630011.812,106807301958.12436
3721,264.599815,46.329014,0.0025958796087174555,28412869779555.305,73756389285.89204
3466,272.928631,37.033854,0.044244428332751745,28036602082539.65,1240463431534.8037
3722,269.086873,46.329014,0.011279930670132696,27874697692828.703,314424657426.0156
3372,272.172216,33.935467,0.04644060715248513,26025074268038.945,1208620250196.246
3467,276.80996,37.033854,0.016332616865082285,24389424340514.137,398343123313.52954
3371,268.437721,33.935467,0.02808501610512232,23093506960902.098,648581514920.6898
3723,273.573932,46.329014,0.01572069023117128,22305482116566.992,350657574811.4804
