tile_index,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
32534,272.019318,35.0,0.13141070967700888,2467954284873.8813,324315624025.6917
32827,273.115111,36.0,0.10877510011148094,5814275303889.868,632448378256.3317
32239,272.596055,34.0,0.1011370441019773,3276163886817.3857,331341531506.3553
33115,272.193746,37.0,0.08093802601427467,2338926637427.1885,189308105025.56177
32826,271.879043,36.0,0.06455165378796301,3539839043560.549,228502464405.03467
31939,271.68447,33.0,0.05269279293635312,2827890599981.08,149009453831.46246
32238,271.389837,34.0,0.05157956001023194,1654547206525.725,85340816928.75525
33116,273.445882,37.0,0.04808662077975395,1799156377947.3496,86515350469.82988
31940,272.876833,33.0,0.043492560058701876,2866133356919.5054,124655477162.0704
33400,272.313153,38.0,0.04265656144793867,2905053266584.62,123919583175.6018
32535,273.240093,35.0,0.038787427527423146,4205076157899.319,163104086721.8148
32533,270.798544,35.0,0.03381076639981579,1921301083536.9,64960662119.179085
31637,272.266248,32.0,0.027657649567894595,1207840207139.5098,33406021183.07778
31638,273.445426,32.0,0.01589465807796659,2170099071124.154,34492982730.83133
33399,271.044135,38.0,0.0153308564613614,5387059109655.616,82588229958.9996
32828,274.351179,36.0,0.01454717299106076,4189077553920.247,60939235849.847496
32240,273.802273,34.0,0.013531101397523058,5093247087954.164,68917242789.74684
31331,272.030654,31.0,0.012248060150800941,2749166250929.684,33671953605.938683
33681,272.017888,39.0,0.011748490728905268,672212848434.0679,7897486417.678649
