tile_index,objname,P_Mstar,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
10659.0,NGC 6504,0.04516423802921764,269.830224,32.975607,,,
10485.0,NGC 6575,0.044128056291356445,272.260903,31.243557,,,
9754.0,NGC 6623 NED02,0.04184834689953643,274.631259,24.315353,,,
10305.0,NGC 6518,0.04070603301038774,269.058533,29.511506,,,
10661.0,UGC 11167,0.030704892486498526,273.95955,32.975607,,,
10124.0,UGC 11060,0.03039923522392671,270.216997,27.779455,,,
10830.0,UGC 11041,0.028482382680537335,267.944445,34.707658,,,
9940.0,UGC 11156,0.027817121848777653,272.930548,26.047404,,,
10831.0,UGC 11076,0.027400851715822183,270.051388,34.707658,,,
9938.0,UGC 11082,0.02300621639248639,269.074824,26.047404,,,
10306.0,CGCG 171-048,0.022373301959562848,271.048809,29.511506,,,
9941.0,UGC 11194,0.020682082345642963,274.858409,26.047404,,,
11001.0,UGC 11199,0.019867557409391782,275.338614,36.439709,,,
10832.0,CGCG 200-003,0.01838478711296845,272.158332,34.707658,,,
11000.0,IC 1279,0.017946464806375073,273.185614,36.439709,,,
9939.0,UGC 11097,0.017166316171982367,271.002686,26.047404,,,
10127.0,CGCG 172-027,0.016138580092225973,276.090027,27.779455,,,
10484.0,CGCG 171-031,0.015689958297944374,270.235042,31.243557,,,
10486.0,UGC 11171,0.014545384927347232,274.286764,31.243557,,,
10999.0,CGCG 200-006,0.013385889002800204,271.032613,36.439709,,,
11481.0,CGCG 227-023,0.013280615103235732,275.302699,41.635861,,,
10307.0,ARK 538,0.010747128320639175,273.039084,29.511506,,,
9753.0,WISEA J181146.66+245705.2,0.010527700921108234,272.730607,24.315353,,,
10125.0,UGC 11127,0.009669064523622733,272.174674,27.779455,,,
11164.0,UGC 11132,0.0077440200859254064,272.225894,38.17176,,,
10126.0,UGC 11161,0.007621875150606819,274.13235,27.779455,,,
11324.0,UGC 11140,0.003685142727148144,273.010942,39.903811,,,
11165.0,WISEA J182142.76+373717.0,0.003047474937936545,274.429068,38.17176,,,
10483.0,UGC 11031,0.0015361554776201825,268.209181,31.243557,,,
10658.0,WISEA J175401.47+325159.3,0.0013684370394310857,267.765561,32.975607,,,
10123.0,LDCE 1279,,268.25932,27.779455,,,
