tile_index,objname,P_Mstar,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
35280.0,CGCG 227-019,0.005771520028724305,272.205966,45.0,,,
31017.0,NGC 6487,0.004699622548136009,267.599005,30.0,,,
33960.0,CGCG 227-022,0.004657946823195265,274.791743,40.0,,,
34765.0,WISEA J181138.82+432545.3,0.004563695651394675,273.358905,43.0,,,
31634.0,B2 1752+32B,0.004445518830005439,268.728713,32.0,,,
35279.0,CGCG 254-010,0.003994662556410527,270.791752,45.0,,,
31938.0,CGCG 199-035,0.003736578956812982,270.492107,33.0,,,
33956.0,MRK 1120,0.0032490138791237046,269.570114,40.0,,,
32533.0,CGCG 199-036,0.003045221354384841,270.798544,35.0,,,
32827.0,IC 1281 NED02,0.002894370454519319,273.115111,36.0,,,
33957.0,WISEA J180453.62+394034.6,0.0028378509734259465,270.875522,40.0,,,
33686.0,UGC 11281,0.002821974936090171,278.451686,39.0,,,
28776.0,UGC 11246,0.002651055741007436,276.848576,23.0,,,
28106.0,NGC 6579,0.002636222281382671,273.122706,21.0,,,
31936.0,UGC 11035,0.002613068283583232,268.10738,33.0,,,
33678.0,WISEA J175022.23+383834.3,0.0025577188224370434,268.157609,39.0,,,
31937.0,NGC 6504,0.002551578170017742,269.299743,33.0,,,
31332.0,NGC 6575,0.0024930385196690018,273.197287,31.0,,,
29104.0,NGC 6619,0.002436202809995591,275.146251,24.0,,,
28442.0,NGC 6616,0.0024083618892365294,274.144549,22.0,,,
35023.0,CGCG 227-008,0.002379051137846635,270.148961,44.0,,,
28771.0,WISEA J180426.09+231120.7,0.002358649792219828,271.416774,23.0,,,
35278.0,CGCG 254-005 NED02,0.0023565981652470228,269.377538,45.0,,,
30706.0,NGC 6518,0.002299709454859725,269.450947,29.0,,,
28775.0,NGC 6628,0.002294948602185254,275.762216,23.0,,,
30073.0,WISEA J180405.23+271921.6,0.0021721643935995526,270.805044,27.0,,,
32244.0,NGC 6657,0.0021713146374668438,278.627145,34.0,,,
34500.0,WISEA J181229.01+422248.2,0.002140296896167371,272.461774,42.0,,,
33404.0,WISEA J183126.18+382557.5,0.0021333032067675757,277.389226,38.0,,,
33962.0,NGC 6646,0.0021126427055168364,277.402558,40.0,,,
32824.0,WISEA J175919.13+362535.3,0.0020870831668790826,269.406908,36.0,,,
35022.0,CGCG 227-005,0.002080730469571118,268.758797,44.0,,,
29749.0,UGC 11042,0.0020528270131433333,268.371433,26.0,,,
31329.0,WISEA J175641.88+311652.1,0.002052027989221049,269.697387,31.0,,,
30704.0,WISEA J174841.65+284806.6,0.0020428238082611677,267.164239,29.0,,,
33110.0,NGC 6433,0.0020048448422154167,265.933068,37.0,,,
30390.0,UGC 11064,0.001892805204448683,269.363437,28.0,,,
