tile_index,objname,P_Mstar,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
2852.0,WISEA J172713.10+185011.0,0.0025452191366621114,260.353512,18.443534,,,
3175.0,WISEA J181617.32+273151.4,0.002085192033534691,273.816041,27.738694,,,
3723.0,WISEA J180645.27+472554.4,0.0017866900031472182,273.573932,46.329014,,,
3277.0,WISEA J183249.43+312718.4,0.001559448024655197,278.284795,30.83708,,,
3073.0,WISEA J184142.44+224654.4,0.0013522863750020037,280.805252,24.640307,,,
2632.0,WISEA J175527.33+124945.9,0.001212574713273605,270.359316,12.24676,,,
3726.0,WISEA J190205.09+450617.9,0.0011068870230983485,287.035107,46.329014,,,
3374.0,CGCG 173-014,0.0010655383739627282,279.641206,33.935467,,,
2856.0,WISEA J181721.46+194255.4,0.0010340847759892802,273.41811,18.443534,,,
3644.0,WISEA J184543.26+441240.3,0.0010218638982913218,282.881696,43.230627,,,
3370.0,WISEA J173259.36+351613.7,0.0010046197187574977,264.703226,33.935467,,,
3373.0,WISEA J182049.93+335311.1,0.0009751213021549063,275.906711,33.935467,,,
2744.0,WISEA J180339.39+162818.4,0.0009537386706863099,269.569831,15.345147,,,
3646.0,WISEA J191912.23+434600.0,0.0009307409742332609,291.386707,43.230627,,,
2963.0,WISEA J175241.57+211422.8,0.0009052723638334036,268.847997,21.54192,,,
2854.0,WISEA J174418.07+171105.2,0.0008365099404501277,266.885811,18.443534,,,
2745.0,WISEA J180832.48+135827.0,0.0008219856390805149,272.782762,15.345147,,,
2962.0,WISEA J174245.17+194822.2,0.0007912742858515216,265.516932,21.54192,,,
3372.0,2MFGC 14239,0.0007232872570356883,272.172216,33.935467,,,
3724.0,WISEA J182408.84+464017.2,0.0006778632609917726,278.06099,46.329014,,,
3561.0,WISEA J193448.84+390745.3,0.0006749179623925119,293.82053,40.13224,,,
3272.0,WISEA J172210.25+304508.1,0.0006069513255822141,260.242141,30.83708,,,
3069.0,WISEA J174806.22+254804.2,0.0006061377058948334,267.170132,24.640307,,,
2742.0,WISEA J173607.90+141218.5,0.0005992821227545761,263.143971,15.345147,,,
3371.0,WISEA J175210.57+333916.3,0.0005970068215523843,268.437721,33.935467,,,
2634.0,WISEA J182425.56+112546.6,0.000586955883884997,276.700393,12.24676,,,
2964.0,WISEA J180742.26+213024.0,0.0005743657939723589,272.179061,21.54192,,,
3648.0,WISEA J200406.25+441550.8,0.0005742051022588267,299.891718,43.230627,,,
2965.0,WISEA J182326.50+231329.1,0.000573656734109613,275.510125,21.54192,,,
3468.0,WISEA J185026.90+355838.6,0.000558991238267153,280.691289,37.033854,,,
3276.0,WISEA J181351.17+295123.5,0.0005528084874723819,274.676264,30.83708,,,
3465.0,WISEA J180011.05+371739.9,0.0005138621420764774,269.047302,37.033854,,,
3799.0,WISEA J174950.31+480431.6,0.0005059809264095282,267.820643,49.4274,,,
2966.0,WISEA J183747.01+201556.5,0.0005038359608244432,278.84119,21.54192,,,
3464.0,WISEA J174750.57+371529.3,0.0004963469467812629,265.165972,37.033854,,,
3641.0,WISEA J175532.41+430709.6,0.0004667670031124258,270.124179,43.230627,,,
3177.0,WISEA J183917.92+281216.7,0.0004643146646227836,280.817416,27.738694,,,
3798.0,CGCG 253-024,0.00045147052127320276,263.056907,49.4274,,,
3558.0,WISEA J184259.94+404121.5,0.0004498570507434695,281.662983,40.13224,,,
3463.0,WISEA J173027.60+364518.1,0.0004354504261513168,261.284643,37.033854,,,
