tile_index,RA,Dec,tile_prob
32534,272.019318,35.0,0.012651891963267627
33115,272.193746,37.0,0.012568518801345878
32239,272.596055,34.0,0.012498797843008462
31939,271.68447,33.0,0.01210718224663981
33116,273.445882,37.0,0.012042735133244558
32826,271.879043,36.0,0.012019780019935023
33400,272.313153,38.0,0.011930405453806768
32827,273.115111,36.0,0.011930243059652696
32238,271.389837,34.0,0.01125923934353158
32533,270.798544,35.0,0.010970226185735999
33682,273.304648,39.0,0.010735600401789037
32535,273.240093,35.0,0.010605307628268501
33114,270.94161,37.0,0.010546533432630123
33399,271.044135,38.0,0.010260570129246213
33401,273.582171,38.0,0.010088432125052879
33681,272.017888,39.0,0.009683667715628987
32828,274.351179,36.0,0.009595143961486861
31940,272.876833,33.0,0.009591006776279071
33958,272.180929,40.0,0.009368482970224204
31636,271.087069,32.0,0.00932705291172038
31638,273.445426,32.0,0.009123169035669709
31637,272.266248,32.0,0.009121053543909026
32240,273.802273,34.0,0.009100712803403506
31330,270.86402,31.0,0.00889699236101365
31938,270.492107,33.0,0.008599713889925809
33680,270.731128,39.0,0.008512589410539773
32825,270.642975,36.0,0.008244935011771074
31941,274.069197,33.0,0.008114455965470816
31331,272.030654,31.0,0.008087717488137202
33957,270.875522,40.0,0.008032920551163544
32237,270.183619,34.0,0.00802643587939829
33959,273.486336,40.0,0.008020894223984547
31021,272.217807,30.0,0.00797563756441079
31332,273.197287,31.0,0.007975515678360915
33117,274.698017,37.0,0.0076265716465307816
31020,271.063107,30.0,0.007476486162029924
31022,273.372508,30.0,0.007457608359150217
32532,269.577769,35.0,0.007439746367723431
34230,271.162373,41.0,0.007372795934692282
33398,269.775117,38.0,0.007351930083021517
34231,272.487386,41.0,0.007206590156972667
32536,274.460867,35.0,0.006763827758707079
31329,269.697387,31.0,0.006753365576533509
30709,272.88101,29.0,0.006691898434273594
31639,274.624605,32.0,0.006548508717032625
31937,269.299743,33.0,0.006385746112648886
31635,269.907891,32.0,0.0063784560525179
33113,269.689475,37.0,0.006296703705504835
33683,274.591407,39.0,0.006200688118135141
33956,269.570114,40.0,0.006054008340862626
34232,273.812399,41.0,0.006003264778868981
30708,271.737656,29.0,0.005972958914968194
34500,272.461774,42.0,0.005899430008736455
30393,272.761147,28.0,0.005789531835671705
32241,275.008491,34.0,0.005735178959545317
34499,271.116141,42.0,0.005706337485599925
30392,271.628577,28.0,0.005626405117777997
32829,275.587247,36.0,0.00553316387487647
30707,270.594302,29.0,0.00552890700664982
32236,268.977401,34.0,0.005510778831103195
33679,269.444369,39.0,0.0054500714732672794
30391,270.496007,28.0,0.005402356934183011
30394,273.893717,28.0,0.00532283727977312
32824,269.406908,36.0,0.005155819670219704
31942,275.26156,33.0,0.005104918994062556
31333,274.363921,31.0,0.005079953640720914
30073,270.805044,27.0,0.00494121277823308
31019,269.908406,30.0,0.004884245652965573
30710,274.024364,29.0,0.00478489841493135
33402,274.85119,38.0,0.004698920161757466
30075,273.049697,27.0,0.004667568352256297
34764,271.991577,43.0,0.004637490289351343
30074,271.92737,27.0,0.0045946721891579265
34501,273.807407,42.0,0.004513045721510275
31023,274.527208,30.0,0.004492995302491459
32531,268.356995,35.0,0.0044245067350559926
34765,273.358905,43.0,0.004385989381760652
33118,275.950153,37.0,0.004331186944636405
31018,268.753705,30.0,0.004278570262369074
31328,268.530754,31.0,0.004261908856900141
33397,268.506099,38.0,0.004115929106782564
34229,269.83736,41.0,0.004101645452601097
29752,271.709239,26.0,0.0040916653235926045
33960,274.791743,40.0,0.0040388500502940485
29753,272.821841,26.0,0.003777236016369143
30706,269.450947,29.0,0.0037512050916251633
30076,274.172023,27.0,0.0036232782204180655
31634,268.728713,32.0,0.0035816625553102724
33112,268.437339,37.0,0.003579451742326809
30390,269.363437,28.0,0.0035611458858463827
31936,268.10738,33.0,0.0034787200174935425
30711,275.167718,29.0,0.0034178532621821195
34498,269.770509,42.0,0.003399246081011301
29754,273.934443,26.0,0.003398009935217841
32235,267.771183,34.0,0.0033151406693199322
29751,270.596637,26.0,0.003313308180421082
29428,271.863951,25.0,0.00325615666373592
31640,275.803783,32.0,0.0032433215385239203
30395,275.026287,28.0,0.0032287478482892107
33684,275.878167,39.0,0.0031952383262888453
32537,275.681642,35.0,0.0031820593317513283
31024,275.681909,30.0,0.003147986958193889
31327,267.36412,31.0,0.0031066747546074328
30705,268.307593,29.0,0.003102815505264216
34766,274.726232,43.0,0.0030420905193407157
35024,271.539124,44.0,0.0030347741300332416
30389,268.230867,28.0,0.00302280390672292
30072,269.682718,27.0,0.0030214135567657842
34233,275.137412,41.0,0.0029740015837147944
29429,272.967329,25.0,0.002893709005128161
34763,270.62425,43.0,0.0028565029600418354
35025,272.929288,44.0,0.0028357955532575738
31633,267.549534,32.0,0.0027851641403964385
32242,276.214709,34.0,0.002763365704945654
32823,268.17084,36.0,0.0027355392939610746
33955,268.264707,40.0,0.0027317278550650194
32830,276.823315,36.0,0.002711568358976416
29750,269.484035,26.0,0.0026952075280989164
31017,267.599005,30.0,0.0026860088879669293
29102,272.956978,24.0,0.0026485168471619106
29100,270.767705,24.0,0.00264068294144261
29101,271.862342,24.0,0.0026263122599202698
33403,276.120208,38.0,0.0026072200874983553
29427,270.760574,25.0,0.0025478209853998365
29755,275.047045,26.0,0.002545101894683526
29430,274.070707,25.0,0.002537322413322439
28773,273.589495,23.0,0.002463410930337856
34228,268.512347,41.0,0.002456427205989208
34502,275.15304,42.0,0.0024509580608086338
29749,268.371433,26.0,0.0024255018724811117
30071,268.560392,27.0,0.0023642626356777316
33961,276.097151,40.0,0.0023558479906964323
32530,267.13622,35.0,0.0023451648318766685
31334,275.530554,31.0,0.002286973908997373
29103,274.051614,24.0,0.0022767539904356413
31943,276.453923,33.0,0.002201346443972024
35280,272.205966,45.0,0.0021938249286321794
33678,268.157609,39.0,0.0021389841162456746
29426,269.657196,25.0,0.002107432882915313
30396,276.158857,28.0,0.002054940560383419
30077,275.294349,27.0,0.0020485996060127056
29425,268.553818,25.0,0.0019851083163323407
30070,267.438066,27.0,0.0019676689358511285
28774,274.675855,23.0,0.001963292937830149
28772,272.503134,23.0,0.001961021240571663
31326,266.197487,31.0,0.0019002503825337376
28441,273.066014,22.0,0.0018946697742041976
