tile_index,RA,Dec,tile_prob
10832,272.158332,34.707658,0.015611323355272433
10999,271.032613,36.439709,0.015469849231056508
11164,272.225894,38.17176,0.014855872311603137
11163,270.02272,38.17176,0.014708152539302327
10831,270.051388,34.707658,0.01441398336493411
10660,271.894887,32.975607,0.014282396325051867
11000,273.185614,36.439709,0.014138446694827323
11324,273.010942,39.903811,0.013547530694216884
11323,270.753088,39.903811,0.013498374597453882
10485,272.260903,31.243557,0.012664959577434347
10659,269.830224,32.975607,0.01252852215808928
11479,270.667721,41.635861,0.01219951430226255
11480,272.98521,41.635861,0.012125024407598203
10484,270.235042,31.243557,0.011797660339189723
10661,273.95955,32.975607,0.011774733187968135
10306,271.048809,29.511506,0.011759931014575018
10998,268.879613,36.439709,0.011680279578225223
10833,274.265276,34.707658,0.011013943753598314
11165,274.429068,38.17176,0.010951029962410354
10307,273.039084,29.511506,0.010582067479189586
10830,267.944445,34.707658,0.00981573683132524
10483,268.209181,31.243557,0.009792346036278609
10125,272.174674,27.779455,0.009663288928579908
11632,273.576429,43.367912,0.009139108104782422
10486,274.286764,31.243557,0.009113282963223883
11631,271.193832,43.367912,0.009068039751366708
10305,269.058533,29.511506,0.00901934775057385
10124,270.216997,27.779455,0.008981667662650452
11001,275.338614,36.439709,0.00872327120601457
11325,275.268797,39.903811,0.008597006848565233
10658,267.765561,32.975607,0.008533199206586494
11162,267.819546,38.17176,0.008422589138303634
10126,274.13235,27.779455,0.008397269083157641
11322,268.495234,39.903811,0.008104985824816193
11481,275.302699,41.635861,0.007946652030042346
9940,272.930548,26.047404,0.007919282473039982
10123,268.25932,27.779455,0.007614903084804868
11779,271.617322,45.099963,0.00744053218715431
9939,271.002686,26.047404,0.0073755125448703406
11630,268.811236,43.367912,0.0069300537646254075
9941,274.858409,26.047404,0.006911216631786675
10308,275.02936,29.511506,0.006790593490676409
10662,276.024214,32.975607,0.0067867703450145075
10304,267.068258,29.511506,0.006770679878068977
9753,272.730607,24.315353,0.006598331425418127
11478,268.350231,41.635861,0.006454555268934178
9752,270.829955,24.315353,0.006257854844188551
9938,269.074824,26.047404,0.006244128430585174
10997,266.726612,36.439709,0.006215538935454657
10482,266.18332,31.243557,0.006191247876760725
10829,265.837501,34.707658,0.005854784192659075
10834,276.372219,34.707658,0.005670603095942395
